loc,cases,deaths,date,outbreak
CAVITE,106,1,2019-03-01,0
CAVITE,81,0,2019-04-01,0
CAVITE,61,0,2019-04-01,0
CAVITE,37,0,2019-04-01,0
CAVITE,48,0,2019-04-01,0
CAVITE,43,0,2019-05-01,0
CAVITE,38,1,2019-05-01,0
CAVITE,49,2,2019-05-01,0
CAVITE,43,0,2019-05-01,0
CAVITE,60,1,2019-06-01,0
CAVITE,52,1,2019-06-01,1
CAVITE,72,0,2019-06-01,1
CAVITE,89,0,2019-06-01,1
CAVITE,134,0,2019-06-01,1
CAVITE,224,2,2019-07-01,1
CAVITE,270,0,2019-07-01,1
CAVITE,330,0,2019-07-01,1
CAVITE,548,5,2019-07-01,1
CAVITE,756,4,2019-08-01,1
CAVITE,1161,0,2019-08-01,1
CAVITE,1189,3,2019-08-01,1
CAVITE,1051,4,2019-08-01,1
CAVITE,1096,0,2019-09-01,1
CAVITE,1156,4,2019-09-01,1
CAVITE,1190,3,2019-09-01,1
CAVITE,1289,3,2019-09-01,1
CAVITE,1013,3,2019-09-01,1
CAVITE,953,0,2019-10-01,1
CAVITE,871,2,2019-10-01,1
CAVITE,782,5,2019-10-01,1
CAVITE,737,3,2019-10-01,1
CAVITE,614,0,2019-11-01,1
CAVITE,548,3,2019-11-01,1
CAVITE,463,2,2019-11-01,1
CAVITE,410,0,2019-11-01,1
CAVITE,384,3,2019-12-01,1
CAVITE,330,1,2019-12-01,0
CAVITE,366,0,2019-12-01,0
CAVITE,278,1,2019-12-01,0
CAVITE,266,2,2019-12-01,0
CAVITE,204,0,2020-01-01,0
CAVITE,31,0,2020-01-01,0
CAVITE,166,0,2020-01-01,0
CAVITE,334,0,2020-01-01,0
CAVITE,278,1,2020-02-01,0
CAVITE,292,0,2020-02-01,0
CAVITE,281,0,2020-02-01,0
CAVITE,189,0,2020-02-01,0
CAVITE,150,0,2020-03-01,0
CAVITE,125,0,2020-03-01,0
CAVITE,103,1,2020-03-01,0
CAVITE,91,0,2020-03-01,0
CAVITE,71,0,2020-03-01,0
CAVITE,41,0,2020-04-01,0
CAVITE,11,0,2020-04-01,0
CAVITE,10,0,2020-04-01,0
CAVITE,12,0,2020-04-01,0
CAVITE,5,0,2020-05-01,0
CAVITE,4,0,2020-05-01,0
CAVITE,5,0,2020-05-01,0
CAVITE,3,0,2020-05-01,0
CAVITE,6,0,2020-05-01,0
CAVITE,3,0,2020-06-01,0
CAVITE,4,0,2020-06-01,0
CAVITE,6,0,2020-06-01,0
CAVITE,11,0,2020-06-01,0
CAVITE,14,0,2020-07-01,0
CAVITE,18,0,2020-07-01,0
CAVITE,16,0,2020-07-01,0
CAVITE,11,0,2020-07-01,0
CAVITE,15,0,2020-08-01,0
CAVITE,11,0,2020-08-01,0
CAVITE,14,0,2020-08-01,0
CAVITE,8,0,2020-08-01,0
CAVITE,20,0,2020-08-01,0
CAVITE,7,0,2020-09-01,0
CAVITE,14,0,2020-09-01,0
CAVITE,12,0,2020-09-01,0
CAVITE,21,0,2020-09-01,0
CAVITE,13,0,2020-10-01,0
CAVITE,14,0,2020-10-01,0
CAVITE,17,0,2020-10-01,0
CAVITE,31,1,2020-10-01,0
CAVITE,30,1,2020-11-01,0
CAVITE,29,1,2020-11-01,0
CAVITE,42,1,2020-11-01,0
CAVITE,51,0,2020-11-01,0
CAVITE,54,0,2020-11-01,0
CAVITE,47,0,2020-12-01,0
CAVITE,60,0,2020-12-01,0
CAVITE,60,0,2020-12-01,0
CAVITE,57,0,2020-12-01,0
CAVITE,68,0,2021-01-01,0
CAVITE,47,1,2021-01-01,0
