longitude,latitude,nearest_toilets_water_point_1,nearest_toilets_water_point_2,nearest_toilets_water_point_3,nearest_toilets_water_point_4,nearest_toilets_water_point_5,count_toilets_water_point_within_5.0km,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_1,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_2,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_3,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_4,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_5,count_sanitary_dump_station_waste_disposal_waste_transfer_station_within_5.0km,precipitation_rate,relative_humidity,surface_temperature,ndwi,nowcast_is_10_dengue_cases_or_higher,full_haz_labels,nearest_college_school_university_kindergarten_1,nearest_college_school_university_kindergarten_2,nearest_college_school_university_kindergarten_3,nearest_college_school_university_kindergarten_4,nearest_college_school_university_kindergarten_5,count_college_school_university_kindergarten_within_5.0km,ndvi,fapar,ndbi,aerosol,dengue,dengue symptoms,dengue fever,symptoms of dengue,dengue sintomas,final_vul_labels,nearest_clinic_hospital_doctors_1,nearest_clinic_hospital_doctors_2,nearest_clinic_hospital_doctors_3,nearest_clinic_hospital_doctors_4,nearest_clinic_hospital_doctors_5,count_clinic_hospital_doctors_within_5.0km,final_loc_labels
121.11159888156344,14.66216847415746,1701.10400390625,3292.5029296875,3324.114013671875,3557.06494140625,3704.551025390625,11.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.86353159851308,-0.1437367918786884,0,4,578.7940063476562,727.7579956054688,995.0800170898438,1255.676025390625,1373.1070556640625,39.0,0.1430407717143985,0.0,-0.0099124203375504,86.90792838874681,24,10,6,4,1,1,1534.3890380859375,1621.8609619140625,1710.2879638671875,1710.2879638671875,1746.3310546875,36.0,2
121.04924144554496,14.70826061348122,2800.072021484375,3104.931884765625,3463.964111328125,4261.578125,4460.5322265625,6.0,4421.373046875,4967.45703125,5000.0,5000.0,5000.0,2.0,0.0,73.28685760498047,33.99872682323854,-0.1395118703409426,0,4,746.56298828125,827.1329956054688,1167.258056640625,1284.4429931640625,1553.3929443359375,50.0,0.1498537043457287,0.0,-0.0200969361679952,87.5877080665813,24,10,6,4,1,1,638.4739990234375,1598.6729736328125,2319.287109375,2371.342041015625,2384.929931640625,24.0,2
121.10834720126168,14.664921647601552,1778.3509521484375,2521.5029296875,2553.114013671875,3729.14404296875,3781.798095703125,11.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.55102065613613,-0.1435032969873271,0,4,335.3580017089844,1150.3909912109375,1361.7919921875,1510.7559814453125,1746.8929443359375,37.0,0.1484150343218994,0.0,-0.014714864054272,87.83544303797468,24,10,6,4,1,3,1538.3890380859375,1618.4840087890625,1625.8609619140625,1750.3310546875,1906.5589599609373,37.0,2
121.13325100932504,14.68292712099681,2652.700927734375,2684.31201171875,5000.0,5000.0,5000.0,2.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,30.182345078979324,-0.1559970277060619,0,4,1792.4820556640625,1979.1729736328125,2238.827880859375,2704.0048828125,4176.11279296875,8.0,0.2673984800193755,0.0420042527339003,-0.1038237458137894,127.89230769230768,24,10,6,4,1,5,2942.491943359375,5000.0,5000.0,5000.0,5000.0,1.0,4
121.11598632339934,14.614343524127811,2701.39111328125,3642.264892578125,3730.7890625,4039.576904296875,4054.6689453125,13.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.44602673147028,-0.1294296206734244,0,4,1460.843994140625,1519.9949951171875,1939.2010498046875,2177.922119140625,2506.39208984375,22.0,0.1679098477892878,0.0,-0.0473216020070391,104.03787878787878,24,10,6,4,1,5,2275.342041015625,2347.9619140625,2506.39208984375,2547.215087890625,2782.406982421875,35.0,3
121.10205008328582,14.667777516747506,2180.325927734375,2669.501953125,2701.113037109375,4223.83984375,4237.28515625,10.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.15458488228012,-0.1393158964503205,0,4,766.083984375,1379.4219970703125,1910.864990234375,2183.47802734375,2332.44189453125,34.0,0.1685189908244124,0.0,-0.0348695014824082,92.93094629156008,24,10,6,4,1,3,1766.4830322265625,1811.8709716796875,1899.343017578125,2111.284912109375,2412.875,35.0,2
120.99628994374214,14.658843592426756,3003.81005859375,3261.262939453125,3470.2958984375,3738.52197265625,4433.93994140625,7.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,35.009727722772254,-0.1124105944931154,0,4,881.1829833984375,985.4990234375,1483.1419677734375,1498.7740478515625,1844.6800537109373,39.0,0.0825400546761888,0.0,0.020528276605891,91.39340101522842,24,10,6,4,1,3,569.4249877929688,576.8939819335938,621.6420288085938,893.5570068359375,1486.6529541015625,29.0,1
121.12602062450182,14.645438493895067,2864.98193359375,3387.5869140625,3863.12109375,4134.05908203125,4174.4609375,10.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,33.384106041923644,-0.1463993925796528,0,4,930.4219970703124,1069.8740234375,1079.239013671875,1100.68701171875,1243.447021484375,39.0,0.1886030512180711,0.0400581395348837,-0.0485875107958359,130.7969151670951,24,10,6,4,1,1,882.2160034179688,2316.031005859375,2365.5859375,2400.73388671875,2480.1298828125,40.0,2
121.01946829050492,14.691692728941188,3574.419921875,3693.31396484375,4544.77587890625,5000.0,5000.0,3.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,35.78341463414631,-0.1293955536586927,0,4,1256.2569580078125,1433.7850341796875,1615.7120361328125,1663.844970703125,1723.905029296875,51.0,0.1384768028970386,0.0,-0.0149997662822981,96.0,24,10,6,4,1,3,1645.1810302734375,1999.885009765625,2512.679931640625,2576.343994140625,2903.116943359375,29.0,3
121.10425903473056,14.666268062155003,1902.623046875,2644.93701171875,2676.548095703125,3946.136962890625,3959.58203125,11.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.28197815533986,-0.1398150848673355,0,4,739.1580200195312,744.9409790039062,1765.4749755859375,1797.18994140625,1914.43896484375,36.0,0.1567960435147476,0.0,-0.0248146875930213,89.91687657430732,24,10,6,4,1,3,1534.16796875,1621.6400146484375,1741.91796875,1833.58203125,2135.172119140625,36.0,2
