index,NDVI,EVI
2018-01-01,0.6398591738568378,0.3631534798424675
2018-01-17,0.6596551364779303,0.4360319882456302
2018-02-02,0.674978225317989,0.4645795245305875
2018-02-18,0.6727329732649203,0.41641253038077247
2018-03-06,0.657360963906325,0.41746821281989366
2018-03-22,0.6610412656024962,0.4518618338934227
2018-04-07,0.6683826452232355,0.4510997779644745
2018-04-23,0.676901361486792,0.4478635049248467
2018-05-09,0.6999611536285405,0.419325481671183
2018-05-25,0.6896232237157944,0.4293571711473835
2018-06-10,0.6888278778222049,0.4479157081441843
2018-06-26,0.6934623707311213,0.42491372655122644
2018-07-12,0.6680128036315539,0.3936058471620971
2018-07-28,0.6329159363754573,0.4268237201003962
2018-08-13,0.6627544153389143,0.4069738020223839
2018-08-29,0.6845857018308631,0.46182899918828707
2018-09-14,0.6720331821480404,0.4518791182873731
2018-09-30,0.6654915236437831,0.4583216514642345
2018-10-16,0.6824167804731953,0.4400542557651991
2018-11-01,0.682359129859587,0.41868706515529613
2018-11-17,0.6891012242693391,0.4340202064454178
2018-12-03,0.6796809146614855,0.41386835749514267
2018-12-19,0.6627519698742762,0.4007231674018063
2019-01-01,0.6692477474753585,0.4240476446755759
2019-01-17,0.6554433836496785,0.4462146017037813
2019-02-02,0.6455921229850378,0.39959869579790963
2019-02-18,0.6137625249026879,0.37439410610843776
2019-03-06,0.6054093524531025,0.38680458152958164
2019-03-22,0.6315750694192922,0.3863048834963179
2019-04-07,0.6568510881913302,0.42819775784753367
2019-04-23,0.6637443580929603,0.431752921835301
2019-05-09,0.6746965082826075,0.43982076254504704
2019-05-25,0.6754602543290039,0.41192493085618087
2019-06-10,0.691180020563065,0.4434280171762074
2019-06-26,0.6608881024685047,0.3917746414504347
2019-07-12,0.669538231668821,0.40045304392267655
2019-07-28,0.6542273773819258,0.408122278772456
2019-08-13,0.6578274534862983,0.439282244546157
2019-08-29,0.6585048962754824,0.3921621928618401
2019-09-14,0.6668158498749963,0.4190323202506098
2019-09-30,0.6723403311297723,0.43834162646655955
2019-10-16,0.6540397973423943,0.40007427340573976
2019-11-01,0.6591447961760463,0.4270603685666186
2019-11-17,0.6816793830923847,0.3983143542691576
2019-12-03,0.658586582689475,0.4171058413251961
2019-12-19,0.6713611285172916,0.3856574165249306
2020-01-01,0.6578212867857465,0.39820426217657173
2020-01-17,0.6334920298165138,0.4012998883389668
2020-02-02,0.6323837561019436,0.3616164175975564
2020-02-18,0.6399732117138741,0.40156370019203047
2020-03-05,0.628959746987952,0.3923066415662651
2020-03-21,0.6212300069154212,0.43904413842869594
2020-04-06,0.6154294390704079,0.39345717408882624
2020-04-22,0.6100829659806039,0.39496061168029645
2020-05-08,0.5529077711640211,0.33967340367965343
2020-05-24,0.6214803715840423,0.3990551664011063
2020-06-09,0.6794017125126799,0.4076738379378244
2020-06-25,0.670607519729084,0.38480627097632525
2020-07-11,0.6758050252940816,0.3876255439751323
2020-07-27,0.6712706537689801,0.42131413255068745
2020-08-12,0.6711740641472348,0.37729714107031176
2020-08-28,0.696183826525957,0.4474986740062652
2020-09-13,0.6795339209046379,0.3990080244300659
2020-09-29,0.6704105612843103,0.3946435769473587
2020-10-15,0.6834125393806101,0.32545235094810676
2020-10-31,0.6603616755686252,0.3466538468463063
2020-11-16,0.6535875766405633,0.3799524737449157
2020-12-02,0.6393094971220841,0.37241586186004233
2020-12-18,0.6765423460923597,0.4321851174855968
2021-01-01,0.6506240627724494,0.36350141899407756
2021-01-17,0.6662318866624731,0.34767980052116076
2021-02-02,0.6422999910152738,0.4021982509733451
2021-02-18,0.6640143146563455,0.3907184119016662
2021-03-06,0.6463810700941562,0.39303445224929
2021-03-22,0.6485204845617084,0.4519408313617442
2021-04-07,0.6190807504466946,0.38608777546158435
2021-04-23,0.6739263622179548,0.4307904314690348
2021-05-09,0.669146696727877,0.41821277107004035
2021-05-25,0.6738949143388638,0.4100297398661827
2021-06-10,0.648373957331731,0.4102284945913464
2021-06-26,0.6724079439533348,0.3788851434241382
2021-07-12,0.6734541572898852,0.389449752452966
2021-07-28,0.6689625361445785,0.4370043162650602
2021-08-13,0.6488178156748913,0.41985671565070154
2021-08-29,0.6212224800820858,0.3973160520280057
2021-09-14,0.6764103469171335,0.3876145584002424
2021-09-30,0.6690453210392937,0.4258507984001464
2021-10-16,0.6846839079425086,0.4120361088606835
2021-11-01,0.6887531038221737,0.38952732447817845
2021-11-17,0.6763029645632669,0.4041660335463738
2021-12-03,0.684524095324833,0.41249603825136594
2021-12-19,0.6641101344673713,0.43972782186816806
