longitude,latitude,nearest_toilets_water_point_1,nearest_toilets_water_point_2,nearest_toilets_water_point_3,nearest_toilets_water_point_4,nearest_toilets_water_point_5,count_toilets_water_point_within_5.0km,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_1,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_2,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_3,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_4,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_5,count_sanitary_dump_station_waste_disposal_waste_transfer_station_within_5.0km,precipitation_rate,relative_humidity,surface_temperature,ndwi,nowcast_is_10_dengue_cases_or_higher,haz_labels
121.11159888156344,14.66216847415746,1701.10400390625,3292.5029296875,3324.114013671875,3557.06494140625,3704.551025390625,11.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.86353159851308,-0.1437367918786884,0,4
121.1241868653561,14.595171314116392,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,33.88516443361749,-0.1436907347383915,0,0
121.0499885978804,14.627311330247776,611.06298828125,690.39501953125,784.1279907226562,1052.3919677734375,1146.469970703125,63.0,3957.6201171875,4476.2041015625,4573.31689453125,5000.0,5000.0,3.0,0.0,73.28685760498047,34.80458692971632,-0.1068236246668622,0,1
121.1238206746426,14.6073317854173,3958.14697265625,5000.0,5000.0,5000.0,5000.0,1.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.087521472392666,-0.1364436210711313,0,0
121.05696870532192,14.760808758820298,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,2468.0380859375,4238.50390625,4247.15283203125,5000.0,5000.0,3.0,0.0,81.32129669189453,34.662117503060074,-0.1576620926567106,0,0
121.10963476625666,14.774914404740343,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,81.32129669189453,27.873990267639897,-0.1007736623649732,0,0
121.05599946226351,14.715157521686011,2706.799072265625,3832.242919921875,4100.14013671875,4100.14013671875,4517.35791015625,6.0,2720.376953125,3758.306884765625,4008.10302734375,4874.18408203125,5000.0,4.0,0.0,73.28685760498047,32.22138480392158,-0.1371618567288839,0,2
121.00696483994912,14.755320891245614,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,79.1504273003128,33.91518518518524,-0.1427190115933083,0,0
121.00611223084852,14.730959285032103,4318.8251953125,5000.0,5000.0,5000.0,5000.0,1.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,31.97548229548238,-0.1352828503534612,0,0
121.04924144554496,14.70826061348122,2800.072021484375,3104.931884765625,3463.964111328125,4261.578125,4460.5322265625,6.0,4421.373046875,4967.45703125,5000.0,5000.0,5000.0,2.0,0.0,73.28685760498047,33.99872682323854,-0.1395118703409426,0,4
121.10834720126168,14.664921647601552,1778.3509521484375,2521.5029296875,2553.114013671875,3729.14404296875,3781.798095703125,11.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.55102065613613,-0.1435032969873271,0,4
121.0877088642249,14.720297010406115,1966.092041015625,1966.092041015625,2742.01904296875,5000.0,5000.0,3.0,2958.240966796875,3150.055908203125,3999.180908203125,4193.998046875,4193.998046875,6.0,0.0,73.28685760498047,28.21935444579782,-0.0680361940287695,1,2
121.13325100932504,14.68292712099681,2652.700927734375,2684.31201171875,5000.0,5000.0,5000.0,2.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,30.182345078979324,-0.1559970277060619,0,4
121.02109193417206,14.762062215563237,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,4175.02783203125,5000.0,5000.0,5000.0,5000.0,1.0,0.0,81.32129669189453,32.72021013597032,-0.1648839629738124,0,0
121.03363788586132,14.593164704234251,727.9099731445312,767.4600219726562,930.8380126953124,1130.6290283203125,1986.407958984375,19.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,33.82633049817747,-0.1141910000359988,0,1
121.11598632339934,14.614343524127811,2701.39111328125,3642.264892578125,3730.7890625,4039.576904296875,4054.6689453125,13.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,34.44602673147028,-0.1294296206734244,0,4
121.06987610213932,14.749849854070614,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,1955.781005859375,3566.462890625,3920.9560546875,5000.0,5000.0,3.0,0.0,77.0316393248985,32.91905055487052,-0.1574156121309926,0,0
121.0042961273658,14.775434967059525,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,79.33724520630632,32.24442944785284,-0.1772296055265652,0,0
121.00098316962418,14.604332540912829,1130.7969970703125,1315.2679443359375,2442.076904296875,3405.416015625,3423.837890625,10.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,33.492211421628326,-0.042487362509899,0,1
121.02879652359928,14.631367294229152,1203.321044921875,1315.072021484375,2878.68701171875,2893.177978515625,2950.873046875,33.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,73.28685760498047,36.08904126213588,-0.0470444210125832,0,1
