longitude,latitude,nearest_college_school_university_kindergarten_1,nearest_college_school_university_kindergarten_2,nearest_college_school_university_kindergarten_3,nearest_college_school_university_kindergarten_4,nearest_college_school_university_kindergarten_5,count_college_school_university_kindergarten_within_5.0km,ndvi,fapar,ndbi,aerosol,dengue,dengue symptoms,dengue fever,symptoms of dengue,dengue sintomas,final_vul_labels
121.11159888156344,14.66216847415746,578.7940063476562,727.7579956054688,995.0800170898438,1255.676025390625,1373.1070556640625,39.0,0.1430407717143985,0.0,-0.0099124203375504,86.90792838874681,24,10,6,4,1,1
121.0499885978804,14.627311330247776,218.98399353027344,551.7119750976562,601.2659912109375,787.3920288085938,814.239013671875,102.0,0.094072894397037,0.0,0.0041892638786432,87.0831234256927,24,10,6,4,1,1
121.05599946226351,14.715157521686011,764.9359741210938,864.0040283203125,1020.5159912109376,1149.3699951171875,1443.552001953125,51.0,0.1626376802192525,0.0285,-0.032049782265252,87.0841836734694,24,10,6,4,1,1
121.04924144554496,14.70826061348122,746.56298828125,827.1329956054688,1167.258056640625,1284.4429931640625,1553.3929443359375,50.0,0.1498537043457287,0.0,-0.0200969361679952,87.5877080665813,24,10,6,4,1,1
121.03363788586132,14.593164704234251,376.6960144042969,511.66400146484375,765.9249877929688,851.4219970703125,1224.781982421875,49.0,0.1223181048256223,0.0,-0.0133457847288471,96.0,24,10,6,4,1,1
121.00098316962418,14.604332540912829,640.14599609375,668.4810180664062,691.85400390625,796.6170043945312,882.927001953125,56.0,0.0545739432677247,0.0,-0.0267547014175894,139.16372795969778,24,10,6,4,1,1
121.02879652359928,14.631367294229152,1030.9000244140625,1102.8349609375,1108.6070556640625,1211.6199951171875,1223.4110107421875,99.0,0.066212346407382,0.0,-0.0245590637915327,136.08163265306118,24,10,6,4,1,1
121.12602062450182,14.645438493895067,930.4219970703124,1069.8740234375,1079.239013671875,1100.68701171875,1243.447021484375,39.0,0.1886030512180711,0.0400581395348837,-0.0485875107958359,130.7969151670951,24,10,6,4,1,1
121.07289845139496,14.63128209209908,600.0679931640625,600.0679931640625,634.6699829101562,740.5809936523438,866.5889892578125,86.0,0.1358179670589071,0.0,-0.0273564028775872,91.89312977099236,24,10,6,4,1,1
121.09507912653244,14.647839140252414,454.9119873046875,897.4760131835938,901.905029296875,1233.177978515625,1413.031982421875,54.0,0.1268133498621561,0.0,-0.0081993781275009,96.40557667934094,24,10,6,4,1,1
121.06173058199506,14.620624669519149,443.9179992675781,503.8280029296875,645.6859741210938,668.8259887695312,716.9539794921875,88.0,0.1044306267596,0.0,0.007471041634997,110.60781841109709,24,10,6,4,1,1
121.06386654681818,14.767656042114725,612.60302734375,653.2260131835938,679.9990234375,1611.8809814453125,1672.823974609375,19.0,0.1667525379725439,0.0415,-0.03911039919265,198.85138539042825,24,10,6,4,1,1
121.008365911395,14.637878600590613,862.0159912109375,962.8759765625,1145.010986328125,1243.720947265625,1303.051025390625,79.0,0.0362655512122881,0.0,-0.0039904407228528,113.32820512820513,24,10,6,4,1,1
120.9977482264899,14.604577700273246,149.4810028076172,283.6990051269531,585.2760009765625,649.572998046875,687.5980224609375,52.0,0.050955311131213,0.0,-0.0367915555393774,163.726582278481,24,10,6,4,1,1
120.9984175181956,14.62044921981122,53.39699935913086,644.155029296875,693.4409790039062,763.0440063476562,809.3759765625,61.0,0.0218180708057356,0.0,-0.07165270214387,198.4486692015209,24,10,6,4,1,1
121.01601754442387,14.631319953092325,278.0429992675781,364.9169921875,494.3349914550781,748.447998046875,961.4910278320312,100.0,0.035549723188294,0.0,-0.0245936927180371,160.89847715736042,24,10,6,4,1,1
121.01093857731342,14.685695694267212,176.45899963378906,940.0159912109376,1254.8050537109375,1324.6839599609375,1573.592041015625,55.0,0.1574600134346909,0.0,-0.0220393350057549,88.06549118387909,24,10,6,4,1,1
121.0123851086203,14.603986707052094,494.1860046386719,667.0349731445312,669.2880249023438,856.7949829101562,983.780029296875,60.0,0.0640003319376776,0.0,-0.0084147515158271,111.01538461538463,24,10,6,4,1,1
121.06843988020738,14.652663924734972,800.6710205078125,826.8359985351562,948.5889892578124,1188.0260009765625,1251.8199462890625,79.0,0.2031875815875947,0.0,-0.0608251279289114,95.27664974619287,24,10,6,4,1,1
121.00339718149012,14.605850224090808,399.1440124511719,775.2169799804688,940.7579956054688,1079.8929443359375,1080.3179931640625,58.0,0.0465552084552389,0.0,-0.0329097247415617,127.7964376590331,24,10,6,4,1,1
121.11869583350308,14.660695004862005,520.6290283203125,653.0469970703125,669.593017578125,770.47802734375,1331.6490478515625,36.0,0.1613033333143296,0.0,-0.0212989290593381,93.80580075662044,24,10,6,4,1,1
121.07179910312574,14.622117657282828,62.95199966430664,544.9719848632812,921.0659790039062,1009.2150268554688,1049.52099609375,80.0,0.1166754636399877,0.0,-0.0098116502882798,96.49242424242426,24,10,6,4,1,1
121.07471761133024,14.633580213200924,623.7030029296875,623.7030029296875,629.60302734375,629.60302734375,828.2550048828125,85.0,0.1487722129800257,0.0,-0.0373816489350083,95.9236641221374,24,10,6,4,1,1
121.02812311939904,14.621582894538316,106.16799926757812,553.3709716796875,828.3920288085938,1497.2349853515625,1533.4730224609375,111.0,0.061465171132789,0.0,-0.0448297440149535,170.06289308176102,24,10,6,4,1,1
121.08026400220852,14.676343453420278,226.2400054931641,261.4140014648437,261.4140014648437,418.7120056152344,422.16900634765625,51.0,0.1640600945361273,0.0,-0.0364980452977208,103.60403530895334,24,10,6,4,1,1
121.05881468351778,14.666038291511626,347.52099609375,503.72900390625,546.1510009765625,1790.282958984375,1963.2950439453125,57.0,0.1725844531878221,0.0,-0.0416996948972305,92.96586599241468,24,10,6,4,1,1
121.0467450041547,14.7495124851253,629.1510009765625,783.3590087890625,956.4810180664062,1013.9390258789062,1554.4439697265625,37.0,0.1651891643661875,0.0,-0.0265208927976733,89.71212121212122,24,10,6,4,1,1
121.08423577670452,14.604916994245082,0.0,706.593994140625,807.8800048828125,1087.5999755859375,1553.2340087890625,51.0,0.0984034490292553,0.0,-0.0101355855031597,111.55555555555556,24,10,6,4,1,1
121.00408451845226,14.613284735389657,227.16099548339844,681.4669799804688,792.3250122070312,1160.8489990234375,1230.4520263671875,71.0,0.027141484481644,0.0,-0.0647582815980142,158.78787878787878,24,10,6,4,1,1
121.03021579154684,14.661759905132335,245.9080047607422,374.6449890136719,658.9849853515625,993.0020141601562,1047.5050048828125,87.0,0.1258198391059668,0.0,-0.0128853526584646,96.0,24,10,6,4,1,1
121.04471091543074,14.750154927123956,172.25799560546875,760.885009765625,1261.14404296875,1318.60205078125,1513.9429931640625,38.0,0.1668565670147662,0.0,-0.0268927899582962,91.88310038119444,24,10,6,4,1,1
121.01608899112924,14.653158806261112,758.5280151367188,769.3350219726562,964.27001953125,976.3419799804688,1177.029052734375,81.0,0.0861437594141187,0.0,0.0149589632110289,96.26666666666668,24,10,6,4,1,1
121.11159888156344,14.66216847415746,578.7940063476562,727.7579956054688,995.0800170898438,1255.676025390625,1373.1070556640625,39.0,0.133430997701636,0.0,-0.0006747721991246,86.9079283887468,20,5,4,2,2,1
121.0499885978804,14.627311330247776,218.98399353027344,551.7119750976562,601.2659912109375,787.3920288085938,814.239013671875,102.0,0.0915632696033555,0.0,0.0094651307464419,94.06818181818178,20,5,4,2,2,1
121.05599946226351,14.715157521686011,764.9359741210938,864.0040283203125,1020.5159912109376,1149.3699951171875,1443.552001953125,51.0,0.1517961581483757,0.038,-0.0165492916586224,86.48407643312103,20,5,4,2,2,1
121.04924144554496,14.70826061348122,746.56298828125,827.1329956054688,1167.258056640625,1284.4429931640625,1553.3929443359375,50.0,0.1390093108707527,0.0,-0.0069836490265317,94.23754789272029,20,5,4,2,2,1
121.03363788586132,14.593164704234251,376.6960144042969,511.66400146484375,765.9249877929688,851.4219970703125,1224.781982421875,49.0,0.1108717139135437,0.0,0.001881679564067,96.0,20,5,4,2,2,1
121.00098316962418,14.604332540912829,640.14599609375,668.4810180664062,691.85400390625,796.6170043945312,882.927001953125,56.0,0.0720372497524721,0.0,0.0260217173465428,95.6595208070618,20,5,4,2,2,1
