longitude,latitude,nearest_clinic_hospital_doctors_1,nearest_clinic_hospital_doctors_2,nearest_clinic_hospital_doctors_3,nearest_clinic_hospital_doctors_4,nearest_clinic_hospital_doctors_5,count_clinic_hospital_doctors_within_5.0km,nearest_toilets_water_point_1,nearest_toilets_water_point_2,nearest_toilets_water_point_3,nearest_toilets_water_point_4,nearest_toilets_water_point_5,count_toilets_water_point_within_5.0km,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_1,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_2,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_3,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_4,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_5,count_sanitary_dump_station_waste_disposal_waste_transfer_station_within_5.0km,nearest_college_school_university_kindergarten_1,nearest_college_school_university_kindergarten_2,nearest_college_school_university_kindergarten_3,nearest_college_school_university_kindergarten_4,nearest_college_school_university_kindergarten_5,count_college_school_university_kindergarten_within_5.0km,geometry,buffered_geometry,ndvi,fapar,ndbi,ndwi,ndmi,aerosol,surface_temperature,precipitation_rate,relative_humidity,date_from,date_to,date,dengue,dengue symptoms,dengue fever,symptoms of dengue,dengue sintomas,isPartial,Year,Month,datetime,nowcast_is_10_dengue_cases_or_higher
121.0877088642249,14.720297010406115,1966.092041015625,2142.16796875,2853.81298828125,3535.6298828125,3541.64599609375,12.0,1966.092041015625,1966.092041015625,2742.01904296875,5000.0,5000.0,3.0,2958.240966796875,3150.055908203125,3999.180908203125,4193.998046875,4193.998046875,6.0,2115.8330078125,2278.075927734375,2312.181884765625,2642.403076171875,2725.31298828125,20.0,POINT (121.0877088642249 14.72029701040612),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.0877088642249,
                14.720297010406117
              ]
            }
          }
        }
      }
    }
  }
})",0.1381477786938795,0.0489553072625698,-0.0496225822758197,-0.0680361940287695,0.0496225822758197,98.29722921914356,28.21935444579782,0.0,73.28685760498047,2019-01-01,2019-01-31,2019-01-31,24,10,6,4,1,False,2019,1,2019-01-31 01:00:00,1
121.09232833344991,14.710276314726482,2083.445068359375,2089.4609375,2096.422119140625,2390.132080078125,2506.8330078125,13.0,2506.8330078125,2506.8330078125,2989.98291015625,5000.0,5000.0,3.0,600.1380004882812,1109.4150390625,1304.2320556640625,1304.2320556640625,1304.2320556640625,6.0,845.60400390625,1104.5240478515625,1225.52294921875,1270.739990234375,1746.4739990234375,35.0,POINT (121.0923283334499 14.71027631472648),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.09232833344991,
                14.710276314726482
              ]
            }
          }
        }
      }
    }
  }
})",0.1608483946605666,0.0303743315508021,-0.0221986006774902,-0.1418034759604051,0.0221986006774902,96.28282828282828,29.116034271725823,0.0,73.28685760498047,2019-01-01,2019-01-31,2019-01-31,24,10,6,4,1,False,2019,1,2019-01-31 01:00:00,1
121.07537849264229,14.731024628843034,970.0,1198.071044921875,1448.02197265625,2188.259033203125,2511.26806640625,18.0,2511.26806640625,2511.26806640625,3795.9560546875,5000.0,5000.0,3.0,2706.785888671875,3211.282958984375,4598.44384765625,4703.3017578125,4790.2587890625,5.0,1628.4239501953125,1852.27001953125,2173.610107421875,2721.260986328125,2835.947998046875,32.0,POINT (121.0753784926423 14.73102462884303),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.07537849264227,
                14.731024628843034
              ]
            }
          }
        }
      }
    }
  }
})",0.2469944887130289,0.0620731707317073,-0.1110821744577114,-0.1153360062306081,0.1110821744577114,93.1153846153846,29.573743902439105,0.0,73.28685760498047,2019-01-01,2019-01-31,2019-01-31,24,10,6,4,1,False,2019,1,2019-01-31 01:00:00,1
121.05599946226351,14.715157521686011,1515.2540283203125,1627.428955078125,2306.861083984375,2597.614013671875,2617.60400390625,29.0,2706.799072265625,3832.242919921875,4100.14013671875,4100.14013671875,4517.35791015625,6.0,2720.376953125,3758.306884765625,4008.10302734375,4874.18408203125,5000.0,4.0,764.9359741210938,864.0040283203125,1020.5159912109375,1149.3699951171875,1443.552001953125,51.0,POINT (121.0559994622635 14.71515752168601),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.05599946226353,
                14.715157521686011
              ]
            }
          }
        }
      }
    }
  }
})",0.1517961581483757,0.038,-0.0165492916586224,-0.1482566318017281,0.0165492916586224,86.48407643312103,36.56628676470592,0.0,69.38164520263672,2019-02-01,2019-02-28,2019-02-28,20,5,4,2,2,False,2019,2,2019-02-28 01:00:00,1
121.09232833344991,14.710276314726482,2083.445068359375,2089.4609375,2096.422119140625,2390.132080078125,2506.8330078125,13.0,2506.8330078125,2506.8330078125,2989.98291015625,5000.0,5000.0,3.0,600.1380004882812,1109.4150390625,1304.2320556640625,1304.2320556640625,1304.2320556640625,6.0,845.60400390625,1104.5240478515625,1225.52294921875,1270.739990234375,1746.4739990234375,35.0,POINT (121.0923283334499 14.71027631472648),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.09232833344991,
                14.710276314726482
              ]
            }
          }
        }
      }
    }
  }
})",0.1427713757034071,0.0629786096256684,-0.0056722442195414,-0.1450858267305554,0.0056722442195414,87.24337957124843,34.280930232558205,0.0,69.38164520263672,2019-02-01,2019-02-28,2019-02-28,20,5,4,2,2,False,2019,2,2019-02-28 01:00:00,1
121.07434405406696,14.72700970997576,962.2340087890625,1190.3050537109375,1440.2559814453125,2098.781005859375,2180.492919921875,23.0,2236.264892578125,2236.264892578125,3520.952880859375,5000.0,5000.0,3.0,2225.235107421875,3203.51708984375,4323.44091796875,4515.255859375,4695.5361328125,5.0,1620.657958984375,1844.5040283203125,1989.1280517578125,2056.06103515625,2382.385009765625,38.0,POINT (121.074344054067 14.72700970997576),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.07434405406697,
                14.727009709975759
              ]
            }
          }
        }
      }
    }
  }
})",0.1909724075003837,0.0642115902964959,-0.0734726035177028,-0.0999679175848297,0.0734726035177028,114.52206809583858,33.3714233576643,0.0,69.38164520263672,2019-02-01,2019-02-28,2019-02-28,20,5,4,2,2,False,2019,2,2019-02-28 01:00:00,1
121.09991064167362,14.699273749228002,722.7329711914062,1453.0369873046875,1464.614990234375,2257.618896484375,2812.013916015625,12.0,3810.639892578125,4167.8251953125,4167.8251953125,4346.35009765625,4377.9609375,5.0,1672.6070556640625,1929.95703125,2543.489013671875,2543.489013671875,2543.489013671875,6.0,835.822998046875,1002.8200073242188,1135.2979736328125,1654.887939453125,1786.842041015625,35.0,POINT (121.0999106416736 14.699273749228),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.09991064167362,
                14.699273749228002
              ]
            }
          }
        }
      }
    }
  }
})",0.1620522592894031,0.0424137931034482,-0.0238196341141969,-0.1487221632049712,0.0238196341141969,96.81424936386767,36.777262638717616,0.0,69.38164520263672,2019-02-01,2019-02-28,2019-02-28,20,5,4,2,2,False,2019,2,2019-02-28 01:00:00,1
121.09232833344991,14.710276314726482,2083.445068359375,2089.4609375,2096.422119140625,2390.132080078125,2506.8330078125,13.0,2506.8330078125,2506.8330078125,2989.98291015625,5000.0,5000.0,3.0,600.1380004882812,1109.4150390625,1304.2320556640625,1304.2320556640625,1304.2320556640625,6.0,845.60400390625,1104.5240478515625,1225.52294921875,1270.739990234375,1746.4739990234375,35.0,POINT (121.0923283334499 14.71027631472648),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.09232833344991,
                14.710276314726482
              ]
            }
          }
        }
      }
    }
  }
})",0.1298040763261163,0.0434331550802139,0.0033108561129217,-0.1456802926964379,-0.0033108561129217,99.662893081761,35.940159118727024,0.0,65.74803161621094,2019-03-01,2019-03-31,2019-03-31,12,3,3,2,1,False,2019,3,2019-03-31 01:00:00,1
121.09991064167362,14.699273749228002,722.7329711914062,1453.0369873046875,1464.614990234375,2257.618896484375,2812.013916015625,12.0,3810.639892578125,4167.8251953125,4167.8251953125,4346.35009765625,4377.9609375,5.0,1672.6070556640625,1929.95703125,2543.489013671875,2543.489013671875,2543.489013671875,6.0,835.822998046875,1002.8200073242188,1135.2979736328125,1654.887939453125,1786.842041015625,35.0,POINT (121.0999106416736 14.699273749228),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.09991064167362,
                14.699273749228002
              ]
            }
          }
        }
      }
    }
  }
})",0.1507938331829419,0.0358850574712643,-0.0149428244871838,-0.1496774088395874,0.0149428244871838,96.0,38.37403205918622,0.0,65.74803161621094,2019-03-01,2019-03-31,2019-03-31,12,3,3,2,1,False,2019,3,2019-03-31 01:00:00,1
121.09232833344991,14.710276314726482,2083.445068359375,2089.4609375,2096.422119140625,2390.132080078125,2506.8330078125,13.0,2506.8330078125,2506.8330078125,2989.98291015625,5000.0,5000.0,3.0,600.1380004882812,1109.4150390625,1304.2320556640625,1304.2320556640625,1304.2320556640625,6.0,845.60400390625,1104.5240478515625,1225.52294921875,1270.739990234375,1746.4739990234375,35.0,POINT (121.0923283334499 14.71027631472648),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.09232833344991,
                14.710276314726482
              ]
            }
          }
        }
      }
    }
  }
})",0.0553367689149568,0.0297860962566844,-0.0840281598491804,0.0221968162814288,0.0840281598491804,205.1954602774275,36.47400244798041,0.0,61.310882568359375,2019-04-01,2019-04-30,2019-04-30,8,3,2,1,0,False,2019,4,2019-04-30 01:00:00,1
