lon,lat,Date,Year,Month,Name,City,Binary,medRisk,highRisk,date_from,date_to,longitude,latitude,OSM_network_id,nearest_clinic_hospital_doctors_1,nearest_clinic_hospital_doctors_2,nearest_clinic_hospital_doctors_3,nearest_clinic_hospital_doctors_4,nearest_clinic_hospital_doctors_5,count_clinic_hospital_doctors_within_5.0km,nearest_toilets_water_point_1,nearest_toilets_water_point_2,nearest_toilets_water_point_3,nearest_toilets_water_point_4,nearest_toilets_water_point_5,count_toilets_water_point_within_5.0km,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_1,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_2,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_3,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_4,nearest_sanitary_dump_station_waste_disposal_waste_transfer_station_5,count_sanitary_dump_station_waste_disposal_waste_transfer_station_within_5.0km,nearest_college_school_university_kindergarten_1,nearest_college_school_university_kindergarten_2,nearest_college_school_university_kindergarten_3,nearest_college_school_university_kindergarten_4,nearest_college_school_university_kindergarten_5,count_college_school_university_kindergarten_within_5.0km,geometry,buffered_geometry,ndvi,fapar,ndbi,ndwi,ndmi,aerosol,surface_temperature,precipitation_rate,relative_humidity,date,dengue,dengue symptoms,dengue fever,symptoms of dengue,dengue sintomas,isPartial
121.0229038030017,14.660174194024568,2017-02,2017,2,ALICIA,Quezon City,1,0,0,2017-02-01,2017-02-28,121.0229038030017,14.660174194024568,103789229,0.0,205.95799255371094,420.48199462890625,494.72601318359375,790.1829833984375,81.0,790.1829833984375,1008.0969848632812,1024.4000244140625,1712.8819580078125,1910.5999755859375,16.0,4597.5419921875,5000.0,5000.0,5000.0,5000.0,1.0,559.6069946289062,621.094970703125,695.7219848632812,747.2310180664062,831.344970703125,87.0,POINT (121.0229038030017 14.66017419402457),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.0229038030017,
                14.660174194024568
              ]
            }
          }
        }
      }
    }
  }
})",0.09452351741326959,0.0,0.00786682284622725,-0.11145638531073844,-0.00786682284622725,96.0,37.23971848225216,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.06600377220816,14.63222231163894,2017-02,2017,2,AMIHAN,Quezon City,1,0,0,2017-02-01,2017-02-28,121.06600377220816,14.63222231163894,26082703,1346.633056640625,1401.7130126953125,1492.427978515625,1669.7979736328125,1700.0689697265625,95.0,582.39599609375,1111.155029296875,1198.8389892578125,1450.887939453125,1514.406982421875,68.0,3301.218017578125,3386.823974609375,3453.08203125,5000.0,5000.0,3.0,508.67401123046875,548.8359985351562,691.718017578125,711.60400390625,711.60400390625,88.0,POINT (121.0660037722082 14.63222231163894),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.06600377220816,
                14.63222231163894
              ]
            }
          }
        }
      }
    }
  }
})",0.10944973695922008,0.0,-0.017016270374212914,-0.09716248185444558,0.017016270374212914,87.53030303030302,36.32425091352013,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.00497526120304,14.654071256150386,2017-02,2017,2,APOLONIO SAMSON,Quezon City,1,0,0,2017-02-01,2017-02-28,121.00497526120304,14.654071256150386,6505199720,1702.2349853515625,1793.4229736328125,2031.9620361328125,2076.77490234375,2081.985107421875,53.0,1660.0150146484375,1940.0660400390625,2605.14794921875,2605.208984375,2627.989990234375,8.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,480.135009765625,763.27099609375,772.906005859375,1561.592041015625,1939.073974609375,59.0,POINT (121.004975261203 14.65407125615039),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.00497526120304,
                14.654071256150386
              ]
            }
          }
        }
      }
    }
  }
})",0.07964800723494611,0.0,0.021070654297234103,-0.10937187875477009,-0.021070654297234103,91.87641866330388,37.406439024390295,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.00581402230708,14.616177132949216,2017-02,2017,2,AURORA,Quezon City,1,0,0,2017-02-01,2017-02-28,121.00581402230708,14.616177132949216,61090340,414.9670104980469,486.90301513671875,612.7509765625,697.6680297851562,716.406982421875,64.0,596.8079833984375,1506.5789794921875,1676.60595703125,2904.345947265625,3683.301025390625,13.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,243.17799377441406,527.6489868164062,760.9559936523438,830.5590209960938,938.5700073242188,75.0,POINT (121.0058140223071 14.61617713294922),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.00581402230708,
                14.616177132949216
              ]
            }
          }
        }
      }
    }
  }
})",0.07356269542077458,0.0,0.02218487848989102,-0.10813577332987272,-0.02218487848989102,95.92297817715021,37.3210383189122,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.0111840064643,14.667378698407337,2017-02,2017,2,BAESA,Quezon City,1,0,0,2017-02-01,2017-02-28,121.0111840064643,14.667378698407337,5883944836,432.5870056152344,601.3870239257812,1313.385009765625,1412.1199951171875,1672.91796875,37.0,2270.0439453125,2356.544921875,3012.43896484375,3107.48388671875,3492.18603515625,10.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,610.9879760742188,696.2620239257812,1047.875,1121.114990234375,1187.76904296875,69.0,POINT (121.0111840064643 14.66737869840734),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.0111840064643,
                14.667378698407337
              ]
            }
          }
        }
      }
    }
  }
})",0.10399283251045273,0.0,0.008972729044324631,-0.12152789000252404,-0.008972729044324631,96.0,36.562560679611636,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.03645479589365,14.693251518278297,2017-02,2017,2,BAGBAG,Quezon City,1,0,0,2017-02-01,2017-02-28,121.03645479589365,14.693251518278297,8311306273,1040.6629638671875,1261.6309814453125,1416.3070068359375,2244.4619140625,2371.791015625,27.0,2519.4609375,3370.923095703125,3983.9169921875,4273.4599609375,4631.671875,8.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,705.833984375,1076.2760009765625,1095.781005859375,1197.4749755859375,1274.3079833984375,58.0,POINT (121.0364547958936 14.6932515182783),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.03645479589365,
                14.693251518278297
              ]
            }
          }
        }
      }
    }
  }
})",0.1477679609389602,0.0,-0.015327380551198796,-0.14038182180913414,0.015327380551198796,99.66623876765081,36.27557715674368,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.04688335051176,14.611333841286696,2017-2,2017,2,BAGONG LIPUNAN NG CRAME,Quezon City,0,0,0,2017-02-01,2017-02-28,121.04688335051176,14.611333841286696,5319539978,100.36499786376953,768.9609985351562,1146.3900146484375,1150.8470458984375,1805.904052734375,79.0,1099.6510009765625,1525.3800048828125,1634.3310546875,1656.4749755859375,1667.156982421875,37.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,642.0390014648438,780.2579956054688,1306.761962890625,1456.9100341796875,1656.0179443359375,83.0,POINT (121.0468833505118 14.6113338412867),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.04688335051176,
                14.611333841286696
              ]
            }
          }
        }
      }
    }
  }
})",0.10125348122750612,0.0,-0.008470869184832554,-0.09682102150508329,0.008470869184832554,89.69620253164558,35.43348355663829,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.03269981770477,14.662062151265545,2017-02,2017,2,BAGONG PAG-ASA,Quezon City,1,0,0,2017-02-01,2017-02-28,121.03269981770477,14.662062151265545,1416856088,1026.4339599609375,1066.1009521484375,1109.31494140625,1232.3919677734375,1349.9759521484375,73.0,941.3820190429688,1064.7320556640625,1689.123046875,1708.5460205078125,2238.695068359375,20.0,3601.087890625,4281.23876953125,4517.61279296875,5000.0,5000.0,3.0,263.0840148925781,748.10498046875,776.1710205078125,995.6270141601562,1060.510986328125,87.0,POINT (121.0326998177048 14.66206215126554),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.03269981770477,
                14.662062151265545
              ]
            }
          }
        }
      }
    }
  }
})",0.1338869989701411,0.0,-0.013590989259391959,-0.12495842442671494,0.013590989259391959,96.4318181818182,37.928955773955806,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.10905016830397,14.707141883116226,2017-02,2017,2,BAGONG SILANGAN,Quezon City,1,0,0,2017-02-01,2017-02-28,121.10905016830397,14.707141883116226,261683934,2602.242919921875,3332.547119140625,3344.125,3924.4580078125,4484.27587890625,7.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,2437.29296875,2632.110107421875,2632.110107421875,2632.110107421875,3009.133056640625,6.0,1472.541015625,2035.998046875,2103.0029296875,2173.9619140625,2390.343994140625,21.0,POINT (121.109050168304 14.70714188311623),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.10905016830397,
                14.707141883116226
              ]
            }
          }
        }
      }
    }
  }
})",0.2295086321736002,0.047654736842105264,-0.07407667509656148,-0.15561311805405478,0.07407667509656148,150.09848484848487,33.235012345679024,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
121.07755730974256,14.606916879002483,2017-02,2017,2,BAGUMBAYAN,Quezon City,1,0,0,2017-02-01,2017-02-28,121.07755730974256,14.606916879002483,92281230,687.56201171875,906.8330078125,2144.248046875,2220.85693359375,2533.677001953125,53.0,363.1090087890625,363.1090087890625,755.5980224609375,1049.7159423828125,1117.5169677734375,61.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,478.4530029296875,520.1859741210938,867.3289794921875,1078.5810546875,1407.7230224609375,56.0,POINT (121.0775573097426 14.60691687900248),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.07755730974256,
                14.606916879002483
              ]
            }
          }
        }
      }
    }
  }
})",0.10194214597065301,0.0,-0.012205663060745534,-0.09867848102196722,0.012205663060745534,202.61068702290075,36.24548229548236,6.648648565033e-08,75.09477233886719,2017-02-28,10,5,3,2,1,False
