longitude,latitude,nearest_clinic_hospital_doctors_1,nearest_clinic_hospital_doctors_2,nearest_clinic_hospital_doctors_3,nearest_clinic_hospital_doctors_4,nearest_clinic_hospital_doctors_5,count_clinic_hospital_doctors_within_5.0km,final_loc_labels
121.11159888156344,14.66216847415746,1534.3890380859375,1621.8609619140625,1710.2879638671875,1710.2879638671875,1746.3310546875,36.0,2
121.05599946226351,14.715157521686011,1515.2540283203125,1627.428955078125,2306.861083984375,2597.614013671875,2617.60400390625,29.0,2
121.00611223084852,14.730959285032103,1535.552978515625,1589.66796875,1770.9720458984375,2723.2509765625,3227.50390625,15.0,2
121.04924144554496,14.70826061348122,638.4739990234375,1598.6729736328125,2319.287109375,2371.342041015625,2384.929931640625,24.0,2
121.10834720126168,14.664921647601552,1538.3890380859375,1618.4840087890625,1625.8609619140625,1750.3310546875,1906.5589599609373,37.0,2
121.06987610213932,14.749849854070614,1729.79296875,1910.39794921875,2054.277099609375,2316.6630859375,2352.966064453125,22.0,2
121.09232833344991,14.710276314726482,2083.445068359375,2089.4609375,2096.422119140625,2390.132080078125,2506.8330078125,13.0,2
121.10205008328582,14.667777516747506,1766.4830322265625,1811.8709716796875,1899.343017578125,2111.284912109375,2412.875,35.0,2
121.05968268126864,14.589756738329598,1109.259033203125,2146.097900390625,2188.5859375,2313.718994140625,2313.718994140625,35.0,2
121.07537849264229,14.731024628843034,970.0,1198.071044921875,1448.02197265625,2188.259033203125,2511.26806640625,18.0,2
121.12602062450182,14.645438493895067,882.2160034179688,2316.031005859375,2365.5859375,2400.73388671875,2480.1298828125,40.0,2
121.07024727811792,14.723064744909989,1470.8060302734375,1698.876953125,1727.6929931640625,1948.8280029296875,2428.306884765625,19.0,2
121.10425903473056,14.666268062155003,1534.16796875,1621.6400146484375,1741.91796875,1833.58203125,2135.172119140625,36.0,2
121.07102027037514,14.650592061708505,910.8489990234376,1400.553955078125,1495.4639892578125,1586.8599853515625,1774.6319580078125,69.0,2
120.99467242749796,14.718243415720169,862.4249877929688,1366.677978515625,1577.5439453125,1707.7879638671875,1758.8480224609375,9.0,2
121.0451294851787,14.668161470779353,1226.737060546875,1311.001953125,1765.7969970703125,2352.152099609375,2397.1640625,57.0,2
121.01093857731342,14.685695694267212,1341.281982421875,1829.1710205078125,1895.5560302734373,2513.549072265625,2860.31005859375,38.0,2
121.0218345313046,14.70853336154684,1307.8270263671875,1404.6109619140625,2582.929931640625,2582.929931640625,2660.02490234375,24.0,2
121.07434405406696,14.72700970997576,962.2340087890624,1190.3050537109375,1440.2559814453125,2098.781005859375,2180.492919921875,23.0,2
121.06843988020738,14.652663924734972,728.9749755859375,1404.9859619140625,1857.25,1911.06201171875,1946.4200439453125,68.0,2
121.05340894840438,14.773498997739946,1027.126953125,1609.95703125,1844.4150390625,2148.2890625,2268.55810546875,13.0,2
121.09991064167362,14.699273749228002,722.7329711914062,1453.0369873046875,1464.614990234375,2257.618896484375,2812.013916015625,12.0,2
121.11869583350308,14.660695004862005,1899.43603515625,1984.1390380859373,2063.534912109375,2063.534912109375,2077.612060546875,37.0,2
121.07492302308036,14.757941146041716,1665.14501953125,1710.4189453125,1895.2989501953125,2053.3310546875,2403.035888671875,18.0,2
121.0632300172843,14.77333107821364,982.1859741210938,1063.2840576171875,1718.1689453125,2135.301025390625,2811.132080078125,12.0,2
121.08026400220852,14.676343453420278,640.6110229492188,1037.948974609375,1656.85400390625,1692.001953125,1941.001953125,24.0,2
121.05881468351778,14.666038291511626,445.7340087890625,2223.593017578125,2409.756103515625,2628.14111328125,2766.55908203125,44.0,2
121.07828155311115,14.598412235207768,519.5399780273438,1637.011962890625,1637.011962890625,1747.1820068359375,2112.5810546875,33.0,2
121.0467450041547,14.7495124851253,1325.4599609375,1434.343994140625,1767.8330078125,1889.113037109375,1920.3900146484373,26.0,2
121.05578117363667,14.693937850694551,1720.0479736328125,1739.8280029296875,2064.52294921875,2118.3701171875,2519.531005859375,26.0,2
121.06139197329378,14.669557805587145,950.7860107421876,2061.195068359375,2168.16796875,2430.552001953125,2731.69189453125,39.0,2
121.04471091543074,14.750154927123956,1248.4110107421875,1357.2950439453125,1679.02197265625,1756.14599609375,1843.3409423828125,26.0,2
121.1241868653561,14.595171314116392,3574.030029296875,5000.0,5000.0,5000.0,5000.0,1.0,5
121.1238206746426,14.6073317854173,3630.863037109375,4351.748046875,4473.47314453125,4531.158203125,4926.4208984375,5.0,5
121.10963476625666,14.774914404740343,4803.5048828125,5000.0,5000.0,5000.0,5000.0,1.0,5
121.12447274482562,14.72793491054966,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5
121.12718408294022,14.73756632668167,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5
121.0895827520713,14.720847339354124,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5
121.1291188360064,14.756680907546496,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5
121.12470888260192,14.595607656381851,3541.068115234375,5000.0,5000.0,5000.0,5000.0,1.0,5
121.12837733336566,14.59115685353678,4264.5087890625,5000.0,5000.0,5000.0,5000.0,1.0,5
121.13182525122282,14.76782572771486,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5
121.0499885978804,14.627311330247776,301.2510070800781,566.177978515625,566.177978515625,566.177978515625,597.1890258789062,94.0,1
121.05696870532192,14.760808758820298,905.219970703125,993.4710083007812,1210.093017578125,1724.85205078125,1905.125,21.0,1
121.03363788586132,14.593164704234251,476.4339904785156,998.9559936523438,1194.1710205078125,1336.9329833984375,1423.572998046875,42.0,1
121.00098316962418,14.604332540912829,209.8950042724609,259.364990234375,496.4209899902344,600.4080200195312,1170.0140380859375,48.0,1
121.02879652359928,14.631367294229152,157.47799682617188,517.8179931640625,636.176025390625,709.2930297851562,918.7689819335938,107.0,1
120.99628994374214,14.658843592426756,569.4249877929688,576.8939819335938,621.6420288085938,893.5570068359375,1486.6529541015625,29.0,1
121.10263998239036,14.63384000974686,541.27197265625,623.343994140625,668.5650024414062,672.9019775390625,802.8150024414062,56.0,1
